Date,XLK_to_SPY,XLF_to_SPY,XLE_to_SPY,XLV_to_SPY
2010-01-04,0.14207286417374138,0.781391900094666,0.2846434390464132,0.04692016283210839
2010-01-05,0.35827599773794383,0.8672710586763387,0.3113123420974566,0.048652131790761596
2010-01-06,0.1727185322517282,0.6503828406608175,0.41959122769534024,0.0420730152385022
2010-01-07,0.11125698083241349,0.8991389346797761,0.2662194458662716,0.046643898784890815
2010-01-08,0.18806861873312933,0.884997326008601,0.2111393102051537,0.03389798327252244
2010-01-11,0.2865109230773569,0.683871401081262,0.36587115290428174,0.03927306706324847
2010-01-12,0.11929947010258153,0.8425322178242676,0.2633948332705783,0.03545751483927057
2010-01-13,0.12425628159335567,0.6231504863368392,0.2736030947584383,0.049783712968570405
2010-01-14,0.12973864229494256,0.6122128988548101,0.2686754442666187,0.06741687608236518
2010-01-15,0.12750237772107154,0.5561408374006221,0.17952630237640207,0.045655070987751734
2010-01-19,0.10753258361733299,0.7216773260847853,0.20999951858374524,0.1275386623957141
2010-01-20,0.1357936756490594,0.45895576797471666,0.1445026148989654,0.0771683891464833
2010-01-21,0.07425282636760003,0.8989383824605723,0.14618470821168963,0.043661826436033675
2010-01-22,0.1948370595798607,0.7542649845754669,0.13313545838844848,0.03821734485278474
2010-01-25,0.35669782681377465,0.9596587897024407,0.17012316950852557,0.04004332998996991
2010-01-26,0.15272426608476253,0.718855152844549,0.2037734741117059,0.04400555385075826
2010-01-27,0.13010200703588123,0.9367737939172438,0.19580922197749165,0.04869647867533572
2010-01-28,0.14640308252980033,0.8713967776428011,0.21784412724925975,0.040778351428643736
2010-01-29,0.1731531336665405,0.717270665796311,0.21116874856764697,0.03830981055602335
2010-02-01,0.20448194181992388,0.8260598727809864,0.23222313895616534,0.03440236339924946
2010-02-02,0.12661889659170175,0.6247705728202418,0.2057136411900638,0.045736587837260013
2010-02-03,0.17117049835379583,0.7606562817148312,0.2286715679378362,0.034547419769618254
2010-02-04,0.0924495333398558,0.7481897124236472,0.2084191976972138,0.028111182098236775
2010-02-05,0.09422353722493637,0.6386245613224691,0.18792436897495834,0.029024133190217384
2010-02-08,0.20470283525355437,0.5897355184909101,0.21515308459901974,0.031099595881461536
2010-02-09,0.09405823506862372,0.562939161477767,0.19867414795727317,0.025554695466971367
2010-02-10,0.08667693644586641,0.6453775765399992,0.20109059234173834,0.029301301600962948
2010-02-11,0.13573676291953723,0.41241370427153795,0.20523579597802422,0.019390710563366425
2010-02-12,0.09942154558057344,0.41162728508535656,0.13021970500498814,0.022870303894563133
2010-02-16,0.12846423023208373,0.846114839863794,0.24899838373060085,0.03631804415710766
2010-02-17,0.10546115937033411,0.480130906967392,0.21484544117655768,0.06018297244042024
2010-02-18,0.0595100062671456,0.3800418257114036,0.17110959451464725,0.027498004734947235
2010-02-19,0.060783645411071875,0.32617189131369034,0.14817618976410166,0.01962099810090401
2010-02-22,0.10634627633892445,0.6506436191554166,0.262185211742776,0.05281347730849759
2010-02-23,0.10106844918239782,0.6964873275276269,0.20338800079037286,0.02078969816431081
2010-02-24,0.08550008590836328,0.4950219817670131,0.19994590324847022,0.024678665862965105
2010-02-25,0.08979924486210819,0.5022733286421268,0.16136594992888084,0.02094442691982235
2010-02-26,0.11178108328105477,0.74807503112231,0.19870810009603126,0.05066268485442363
2010-03-01,0.08695163553916906,0.44320257234291316,0.189100648095555,0.042312048565530905
2010-03-02,0.08710845977822555,0.44195598053075796,0.20803839187439904,0.033051870771539524
2010-03-03,0.11051231886460855,0.4623199588818516,0.2224001061113506,0.03360281195079086
2010-03-04,0.05338129665965483,0.4794321516324619,0.24056789992516778,0.0746525015761904
2010-03-05,0.08003574859696977,0.5657298539394999,0.17414608775440213,0.03311514727558898
2010-03-08,0.10223045732749897,0.5771722009365687,0.22004480455582773,0.03812836295877562
2010-03-09,0.15530740498470788,0.7156471249709654,0.21615109535853186,0.03130825127606891
2010-03-10,0.1817250688918409,0.6654567335594619,0.1867087111099647,0.021835811719996046
2010-03-11,0.06783584414809028,0.4682223705167761,0.16211469415906726,0.03752633074840585
2010-03-12,0.0920463884576751,0.7723808266306669,0.1685616764604985,0.030231103169647593
2010-03-15,0.11963208570136388,0.5890055089063377,0.2502928820135025,0.03746233401082165
2010-03-16,0.07843341850800069,0.5503450819040392,0.22720055966277947,0.03257189947413042
2010-03-17,0.11056071485523314,0.6405028114911919,0.2442331889505776,0.0628828504953848
2010-03-18,0.04581568996041405,0.468064038764617,0.20077339929804777,0.03626142504342038
